"","participant_id","attn_check","dv","ask_size_check","scenario","ask_size","interaction_history","direct_likelihood","negotiation_likelihood","likelihood_q_order","date","gender","experimenter","age_day_of","negotiating_request"
"148","p046","3","If I share my toys, can I get one more toy?","alittle","toy","small","failed","0","1",2,"2/27/26","M","MC",8,1
"149","p091","1","If I share my toys, can I get five more toys?","alot","toy","big","failed","2","0",2,"4/16/26","F","CS",6,1
"150","p091","8","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","none","2","0",2,"4/16/26","F","CS",6,1
"151","p091","2","Can I play five more rounds of games?","alot","activity","big","none","0","0",1,"4/16/26","F","CS",6,0
"152","p091","3","If I brush my teeth, can I have one more candy?","alot","food","small","failed","2","0",2,"4/16/26","F","CS",6,1
"153","p085","12","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","failed","2","2",2,"4/9/26","F","CS",4,1
"154","p085","3","If I brush my teeth, can I have ten more candies?","alittle","food","big","failed","2","0",2,"4/9/26","F","CS",4,1
"155","p085","1","If I share my toys, can I get five more toys?","alittle","toy","big","none","0","0",1,"4/9/26","F","CS",4,1
"156","p085","1","If I clean my room, can I play one more round of game?","alittle","activity","small","none","0","0",1,"4/9/26","F","CS",4,1
"157","p095","11","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","failed","2","1",1,"4/16/26","F","CS",5,1
"158","p095","2","If I clean my room, can I play five more rounds of games?","alot","activity","big","none","1","1",1,"4/16/26","F","CS",5,1
"159","p095","3","If I brush my teeth, can I have one more candy?","alot","food","small","none","1","1",2,"4/16/26","F","CS",5,1
"160","p095","1","If I share my toys, can I get five more toys?","alot","toy","big","failed","1","1",1,"4/16/26","F","CS",5,1
"161","p075","2","Can I play five more rounds of games?","alot","activity","big","none","1","1",2,"4/9/26","F","US",7,0
"162","p075","9","Can I stay up for 1 more hour after bedtime?","alot","bedtime","big","failed","1","1",2,"4/9/26","F","US",7,0
"163","p075","3","Can I have one more candy?","alittle","food","small","failed","1","1",1,"4/9/26","F","US",7,0
"164","p075","1","Can I get one more toy?","alittle","toy","small","none","1","1",1,"4/9/26","F","US",7,0
"165","p083","2","If I clean my room, can I play one more round of game?","alot","activity","small","failed","1","0",1,"4/9/26","M","US",6,1
"166","p083","3","If I brush my teeth, can I have one more candy?","alittle","food","small","none","1","0",1,"4/9/26","M","US",6,1
"167","p083","1","If I share my toys, can I get five more toys?","alot","toy","big","none","1","0",2,"4/9/26","M","US",6,1
"168","p083","9","If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?","alot","bedtime","big","failed","1","0",1,"4/9/26","M","US",6,1
"169","p070","9","Can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","none","0","2",1,"4/2/26","F","CS",8,0
"170","p070","1","Can I get five more toys?","alot","toy","big","none","1","2",2,"4/2/26","F","CS",8,0
"171","p070","2","If I clean my room, can I play five more rounds of games?","alot","activity","big","failed","2","0",1,"4/2/26","F","CS",8,1
"172","p070","3","If I brush my teeth, can I have one more candy?","alittle","food","small","failed","1","0",1,"4/2/26","F","CS",8,1
"173","p048","cars","If I clean my room, can I play five more rounds of games?","alot","activity","big","failed","2","0",1,"3/4/26","F","US",4,1
"174","p048","2","If I brush my teeth, can I have one more candy?","alittle","food","small","failed","0","2",1,"3/4/26","F","US",4,1
"175","p048","car","If I share my toys, can I get one more toy?","alot","toy","small","none","2","0",2,"3/4/26","F","US",4,1
"176","p048","2","Can I stay up for 1 more hour after bedtime?","alittle","bedtime","big","none","2","1",1,"3/4/26","F","US",4,0
"177","p090","i don’t know","Can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","none","2","0",2,"4/16/26","F","CS",5,0
"178","p090","1","If I share my toys, can I get one more toy?","alittle","toy","small","failed","2","2",2,"4/16/26","F","CS",5,1
"179","p090","3","If I brush my teeth, can I have ten more candies?","alot","food","big","failed","2","2",1,"4/16/26","F","CS",5,1
"180","p090","3","If I clean my room, can I play five more rounds of games?","alot","activity","big","none","1","2",2,"4/16/26","F","CS",5,1
"181","p067","1","If I share my toys, can I get five more toys?","alot","toy","big","failed","2","2",1,"4/2/26","F","AL",5,1
"182","p067","5pm","If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?","alot","bedtime","big","none","2","2",2,"4/2/26","F","AL",5,1
"183","p067","3","If I brush my teeth, can I have one more candy?","alot","food","small","none","2","2",2,"4/2/26","F","AL",5,1
"184","p067","1","If I clean my room, can I play one more round of game?","alot","activity","small","failed","1","1",2,"4/2/26","F","AL",5,1
"185","p052","9","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","none","1","1",2,"3/11/26","F","MC",7,1
"186","p052","3","If I brush my teeth, can I have ten more candies?","alot","food","big","none","2","1",2,"3/11/26","F","MC",7,1
"187","p052","1","If I share my toys, can I get five more toys?","alot","toy","big","failed","2","1",1,"3/11/26","F","MC",7,1
"188","p052","2","If I clean my room, can I play one more round of game?","alittle","activity","small","failed","2","1",1,"3/11/26","F","MC",7,1
"189","p078","3","Can I have one more candy?","alot","food","small","failed","1","2",2,"4/9/26","F","CS",7,0
"190","p078","2","If I clean my room, can I play five more rounds of games?","alot","activity","big","failed","1","1",1,"4/9/26","F","CS",7,1
"191","p078","9pm","Can I stay up for 10 more minutes after bedtime?","alittle","bedtime","small","none","1","2",1,"4/9/26","F","CS",7,0
"192","p078","2","Can I get five more toys?","alot","toy","big","none","1","1",2,"4/9/26","F","CS",7,0
